Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數
2019-04-25,12248001,"875,352,642",71.9,71.9,71.3,71.4,-0.6,"3,719"
2019-04-26,5155082,"369,360,754",71.2,72.1,71.0,72.0,0.6,"2,003"
2019-04-29,4917238,"357,041,593",72.2,72.9,72.1,72.8,0.8,"2,626"
2019-04-30,8720472,"636,419,420",72.3,73.4,72.3,73.4,0.6,"3,493"
2019-05-02,8121361,"596,493,573",73.4,73.7,73.0,73.7,0.3,"3,133"
2019-05-03,5309979,"390,576,526",73.7,73.8,73.1,73.8,0.1,"2,507"
2019-05-06,7498423,"544,112,780",72.3,73.1,72.1,73.1,-0.7,"2,651"
2019-05-07,8500909,"626,374,980",73.1,74.0,72.8,74.0,0.9,"3,279"
2019-05-08,25523728,"1,955,084,628",79.0,79.0,75.0,76.4,2.4,"11,363"
2019-05-09,20832968,"1,582,276,730",75.7,76.8,74.5,76.5,0.1,"10,193"
2019-05-10,15623588,"1,204,886,576",76.4,77.8,76.0,77.3,0.8,"7,931"
2019-05-13,10579630,"819,404,099",77.0,78.2,76.8,77.7,0.4,"5,784"
2019-05-14,13693169,"1,066,468,082",77.8,78.2,77.1,78.2,0.5,"7,186"
2019-05-15,9011399,"701,161,407",77.4,78.2,77.1,77.7,-0.5,"4,412"
2019-05-16,8956263,"691,054,905",77.3,77.8,76.7,76.8,-0.9,"4,595"
2019-05-17,14417392,"1,132,640,798",77.8,79.2,77.2,78.8,2.0,"6,981"
2019-05-20,12206669,"972,390,409",78.2,80.0,78.2,80.0,1.2,"6,504"
2019-05-21,15459628,"1,253,627,268",80.1,81.5,80.1,81.4,1.4,"8,150"
2019-05-22,9160993,"729,063,139",81.0,81.0,79.4,79.5,-1.9,"4,795"
2019-05-23,10275372,"823,291,109",80.7,80.7,79.7,80.0,0.5,"5,310"
2019-05-24,6869544,"549,163,884",80.5,81.0,79.2,80.0,0.0,"3,707"
2019-05-27,7562555,"609,677,850",80.0,81.4,79.6,80.9,0.9,"4,005"
2019-05-28,20598847,"1,674,898,707",81.0,81.4,80.8,81.4,0.5,"4,089"
2019-05-29,8069687,"653,182,487",81.4,81.5,80.4,81.0,-0.4,"3,990"
2019-05-30,9830101,"788,932,690",79.7,80.8,79.7,80.1,-0.9,"4,015"
2019-05-31,12592431,"1,014,559,551",80.3,81.4,79.7,81.3,1.2,"6,196"
2019-06-03,4951860,"401,502,366",81.7,81.7,80.4,80.9,-0.4,"3,121"
2019-06-04,5594221,"451,369,580",80.5,81.0,80.5,80.9,0.0,"2,652"
2019-06-05,5914827,"480,461,632",81.0,81.5,80.6,81.5,0.6,"3,100"
2019-06-06,5519941,"447,514,711",80.8,81.4,80.6,81.2,-0.3,"2,504"
2019-06-10,7642122,"624,348,517",81.7,82.0,80.8,82.0,0.8,"3,340"
2019-06-11,8176450,"659,558,288",82.0,82.0,80.4,80.6,-1.4,"3,689"
2019-06-12,6180446,"498,051,080",81.0,81.2,80.3,80.3,-0.3,"3,574"
2019-06-13,18637934,"1,517,140,155",81.0,81.8,80.4,81.8,1.5,"3,119"
2019-06-14,6276019,"506,888,602",80.9,81.2,80.6,80.6,-1.2,"2,443"
2019-06-17,7057468,"566,413,818",80.3,80.8,79.8,79.9,-0.7,"3,070"
2019-06-18,5480354,"440,550,901",80.3,81.0,80.0,80.4,0.5,"2,621"
2019-06-19,12415994,"1,002,449,189",80.5,81.2,80.2,81.2,0.8,"5,290"
2019-06-20,8706096,"712,533,502",82.0,82.1,81.5,81.8,0.6,"3,850"
2019-06-21,16304627,"1,336,262,603",82.1,82.3,81.0,82.3,0.5,"3,830"
2019-06-24,5186698,"424,968,259",81.3,82.3,81.3,82.2,-0.1,"2,832"
2019-06-25,6130433,"501,373,046",81.2,82.2,81.2,82.0,-0.2,"3,422"
2019-06-26,5055193,"412,267,229",82.0,82.1,81.3,81.4,-0.6,"2,095"
2019-06-27,19714137,"1,631,458,931",82.2,83.8,82.0,82.0,0.6,"6,322"
2019-06-28,8164024,"671,965,970",82.0,82.7,81.5,82.7,0.7,"2,424"
2019-07-01,5563139,"453,270,098",81.4,82.0,81.1,81.5,-1.2,"3,192"
2019-07-02,5432757,"441,397,477",81.3,81.5,80.9,81.3,-0.2,"3,062"
2019-07-03,4934884,"400,956,465",81.3,81.6,81.0,81.6,0.3,"2,746"
2019-07-04,3782439,"306,908,628",81.5,81.7,80.8,81.5,-0.1,"2,389"
2019-07-05,3018526,"246,374,046",81.5,82.0,81.3,82.0,0.5,"1,827"
2019-07-08,4593249,"374,126,036",81.6,81.8,81.2,81.8,-0.2,"1,963"
2019-07-09,5974443,"490,865,662",81.7,82.9,81.3,82.9,1.1,"3,130"
2019-07-10,6934064,"568,815,648",82.0,82.7,81.7,82.0,-0.9,"3,326"
2019-07-11,6345774,"524,695,304",82.7,83.0,82.1,83.0,1.0,"2,843"
2019-07-12,4943432,"405,805,700",82.1,82.3,82.0,82.0,-1.0,"1,820"
